Text,Review-Activity,Season
Travel  Thanksgiving   Travel,ACTIVITY,FALL
Awesome Stuff!: I am in love with this bare mineral foundation! It cover nicely and feel fresh all day long. Easy to applied and my skin look flawless! Will buy more from this seller. :),REVIEW,NOT APPLICABLE
"Slow and Unreliable: Terrible product, after a few weeks of use.It is slow, and certainly not running at Class 6 speed. I have Class 2 old cards that run circles around it.Tends to lose files as well.Cannot recommend it.",REVIEW,NOT APPLICABLE
No favorites,ACTIVITY,WINTER
"Unfortunate purchase: I purchased this for my clubs, and upon trying it out the zipper broke. Luckily, I still had time to run to the local sports store to purchase a replacement. My money was fully refunded, but was disappointed with the product.",REVIEW,NOT APPLICABLE
"sports, movies and skiing",ACTIVITY,WINTER
Drinking hot cocoa   Holidays  Listening to the rain,ACTIVITY,WINTER
Misleading link..: Looks like the actual movie but it's a documentary. Don't waste your time unless you are into extra features with no actual content.,REVIEW,NOT APPLICABLE
"walking dogs, tennis, hiking",ACTIVITY,SUMMER
"Remember the good old days?: When I was in high school, my friend Jeff Wong, who was incredibly not punk, made a tape for me, and said I'd like it. That tape was Oddities. I lost it about 2 years later, and that was 3 years ago. I really miss this CD. I can't find it in any store, then WHAM! (no, not the 80's group) it hits me! AMAZON!, and here it is. I've missed it.",REVIEW,NOT APPLICABLE
Swimming  Bbqing  Camping,ACTIVITY,SUMMER
sitting in front of a fireplace  ice skating  sledding,ACTIVITY,WINTER
BBQ camping time out doors,ACTIVITY,FALL
"A+: Ms. Ingraham is not only obviously intelligent and extremely informed, she's logical and fair. She exposes what has been ""rotten in Denmark."" I found her trustworthy, something I've never felt toward Hillary and now I understand exactly why.",REVIEW,NOT APPLICABLE
"Staying inside and reading, staying inside and cooking, and riding around in a nice, warm car",ACTIVITY,WINTER
"Maybe it's just me, but . . .: What a yawn. Plot was predictable, characters mundane, dialogue and writing style adequate but not interesting. I wasn't in love with the hero, heroine, or the kid, but they were okay. The sex was okay, and sort of even married sex, actually. I considered abandoning the book, but it really wasn't annoyingly flawed, so actually I'd put it at 2 1/2 stars if I could. I must choose between 2 and 3, though, and since I'm feeling sort of glass half empty tonight, I'm going with 2.I rate books as follows:***** Fun and meaningful book, or changed/challenged me in a positive way.****Really fun or meaningful; well worth the time.***Pleasantly skimmed the surface; not memorable.**Plodded through.*Abandoned; very flawed.",REVIEW,NOT APPLICABLE
"Very Technical & No real recipes for home dyers: I have this book and it is good but very technical - and the recipes are very general 4% of dye stuff to fibers dyeing etc, for which you'd need a scale...uses lots of metric calculations as well...it does give you a lot of information on a lot of different dye materials. I wouldn't recommend it for the home dyer.",REVIEW,NOT APPLICABLE
"Making pumpkin bread, going to pumpkin patches, and drinking fall flavored beverages.",ACTIVITY,FALL
Sledding  Ice Skating  Tobaganing,ACTIVITY,WINTER
"Wonderful Family Movie: I turned this movie on for my children to watch for the first time, and I unintentionally sat and watched the entire movie. It is a wonderful movie.",REVIEW,NOT APPLICABLE
"Fantastic song/piano book: My daughter loves this book,whether she is playing piano or singing. Great little show tunes book and recommended by her singing and piano coach!",REVIEW,NOT APPLICABLE
"Definately Up!: I had few expectations, especially when cds lately have two or three okay songs and the rest are fillers. Shania lives up to her title with both fast and slow songs which I've been listening over and over again since the cd purchase. I've even given it as a b-day gift lately. Love it. Love it. Love it. I wish more cds were as listenable and generous- 19 songs with remixes. How can you loose. Shania, you rock!",REVIEW,NOT APPLICABLE
anything Christmas--baking    smelling the fresh pine scent    attending Gaylord Palms ICE sculptures,ACTIVITY,WINTER
Going to a farm for fall flowers pumkin patch and picking apples and berries,ACTIVITY,FALL
"The most innovative album of any time!: It's as revolutionary now as it was when it was conceived in the mid-60s. Brian Wilson, Van Dyke Parks and the excellent band have created an album that just flows like nothing else around. You shouldn't listen to just a single track or shuffle them around but absorb the whole thing in it's three ""movements"". Brian Wilson is just a genius!",REVIEW,NOT APPLICABLE
"Excellent treatment: I don't know what these other two reviewers are talking about. I was raised Lutheran until high school and studied the Reformation in college. And I think to date this is my favorite treatment of Luther. Nestingen successfully covers the life of Luther, both is personal and public life and paints him in a likeable but realistic light. He pulls together mounds of scholarly info into a very brief account drawing light on things I'd never even heard of before. As for the typeset and the format of the book itself, I work in publishing and I think its fine, even cool! This new way of putting flaps on the paperback cover is different but easily allows you to mark your place in the book. I got used to it quickly. The photos in the book from m",REVIEW,NOT APPLICABLE
"HarperCollins needs to get with the times: Why is the publisher setting the price for the Kindle version the same as the paperback? Apparently they live in some fantasy world where either paper is free, or duplicating bytes is expensive.",REVIEW,NOT APPLICABLE
Professionalism: This CD of Handel's Coronation Anthems shows the Choir of King's College Cambridge at its true professional height. The music is lively and tuned to perfection. This recording allows both serious and amateur listeners the chance to experience Handel's music as it should be heard.,REVIEW,NOT APPLICABLE
"exercising, reading, listenting to music",ACTIVITY,FALL
winter walks  skating  building a snowman,ACTIVITY,WINTER
"I like ice skating, snow boarding and hockey",ACTIVITY,WINTER
"Walking, swimming, driving",ACTIVITY,SUMMER
A good choice for middle school ELA teachers: This book is great for grades 5-7....would be a little young for grades 8 and up. I found a lot of useful material for my poetry unit as the poems contained within are rich with figurative language. Recommended!,REVIEW,NOT APPLICABLE
"MUST HAVE: If you love Heroes Del Silencio or if you have heard a couple of songs and dont know with wich album to start, try this one. This is a greatest hits, live. Youre gonna love it.",REVIEW,NOT APPLICABLE
Sliding down the snow hill.   Throw snow balls.  Freezing my butt and finger and nose.,ACTIVITY,WINTER
"C.Stover has done it again!: With so many small dolls' characteristics to unravel, Carol Stover has done a fantastic job! Photos of very good examples abound with very detailed descriptions. Love the many original catalog and ad pictures,too. Love the large size of this book and especially appreciate the 'Comparions' chapter to start the task of identifying a doll in one's collection. Hoping this book brings even more examples out of hiding for the next book she does! The buzz is out that we small dolls collectors now have a resource book to access.",REVIEW,NOT APPLICABLE
skiing  tennis  snowmobiling,ACTIVITY,WINTER
Walking,ACTIVITY,WINTER
"No complaints: Does what they are supposed too. Very nice for small wound cleaning, IV prep, and any other uses you can think of. Seems to be a very good quality product.",REVIEW,NOT APPLICABLE
"Providing new details about his youth and later years: Howlin Wolf was born in 1910 as a poverty-stricken sharecropper in Mississippi who began his career singing for two decades in juke joints with the first Delta blues stars: James Segrest and Mark Hoffman's Moanin' At Midnight: The Life And Times Of Howlin' Wolf provides a powerful definitive biography of the blues musician which delves into his early years. These years are often overlooked in competing biographies which focus on his successful years, so Moanin At Midnight stands out on this point if nothing else, providing surprising new details about his youth and later years. Highly recommended for any prior Howlin Wolf fan.",REVIEW,NOT APPLICABLE
"The Hobbit: The Hobbit by J.R.R. Tolkien is a beautifully written and a very original story. It is a great adventure book for all ages. The Hobbit is a timeless masterpiece, and it will thrill readers for years to come. The main character, Mr. Bilbo Baggins, is a quirky little hobbit on a rather remarkable quest. He takes the reader over mountains, across rivers, and through battles. This book is nonstop excitement from start to finish. I highly suggest this novel to anyone looking for an adventure.",REVIEW,NOT APPLICABLE
"Snowboarding, Christmas and new years",ACTIVITY,WINTER
"Forgettable: This was the first book I have ever read by Terry Brooks. I found it to be a rather boring read as his descriptions of places and things are quite long and unnecessarily involved. I liked the first quarter of the book but then it became so boring that I truly don't remember anything after about page 150. I am planing to read the 2nd book in this trilogy just to give this author another chance, but honestly, I am not expecting much.",REVIEW,NOT APPLICABLE
Roadtrips  Concerts  Vacation,ACTIVITY,SUMMER
"Apple picking,  watching leaves change,  drinking hot apple cider",ACTIVITY,FALL
"Scratched & Skipped in a Box: the DVD skips beyond belief, it doesn't play cleanly on any machine. Wasted my money, wish I could REWIND and purchase a workable DVD. Kids were beyond disappointed.",REVIEW,NOT APPLICABLE
"NEW REVISED BOOK IS NOW OUT - 3rd Edition 2003: These authors continue keeping us up to date on the latest treatment for Fibromyalgia. Their new revised book just came out and is outstanding. In the newly revised edition of his popular handbook, Dr. Harris H. McIlwain offers hope to millions of sufferers. The proven 7-step treatment program includes the very latest in such medications as Cox-2 Inhibitors, the breakthrough drugs that reduce pain and inflammation. The authors McIlwain and Bruce are on top of this subject!",REVIEW,NOT APPLICABLE
"Going to the beach, riding roller coaster, and riding bikes",ACTIVITY,SUMMER
Watching football  Eating food  Going on vacation,ACTIVITY,FALL
"bought e-edition: The book is a short version of the actual one, but it seems to jump around too much and lacks a description of whats going on.",REVIEW,NOT APPLICABLE
Broken lip liner: The lip liner would not turn to bring up the makeup. Was able to use the lip liner twice. Would not purchase this product again.,REVIEW,NOT APPLICABLE
Another Crichton Thriller: I like his books b/c they combine cutting edge techno-concepts into a thriller you can't put dowm.This is another great example of the same.,REVIEW,NOT APPLICABLE
"A CLEVER PLOT - A JOKE: I love UFO , as well as a lot the bands that have been sistematically ""tributed"" over the last years. But this kind of albuns stinks ! It's made only to gain some sort of quick money, it's a compilation. If you like a determined band, why on Earth to buy a record with other people playing it ?!! Just to sense a freshness to the music ? No, it's a waste of time.",REVIEW,NOT APPLICABLE
"Ice skating, camping, and bonfires",ACTIVITY,WINTER
Snowball fights  Inside water park  Winter concert series,ACTIVITY,WINTER
Playing in the snow  Ice skating  Getting ready for Christmas,ACTIVITY,WINTER
"The BEST BT Headset Ever: I have tried several BT Headsets, Motorola, and Jabra just to name two and they both did not work nearly as well as the Scala. I work for a Wireless Company and everyone in our office uses the Scala because it works the best. The sound quality is awesome, the battery life is outstanding and I can carry it in the clip or on the lanyard so it is not always on my ear, which is nice. I will say that the eyeglass clip is useless....they need to redesign that.By and large the best BT Headset I have used...just wish it had a vibrating feature....oh well!",REVIEW,NOT APPLICABLE
Football   Carving pumpkins  Holloween,ACTIVITY,FALL
"Not so funny: I am a fan of Chevy Chase and he is good in this movie. Miller is good too. All the acting is good. The problem with the movie is plot. It is his birthday, he finds the money, his wife gets ""discovered"" as an artist, and the wife is having a surprised birthday party for him. So many small things to wrong in the movie to keep the certain characters in the plot, it makes the whole thing uncomfortable. It is like a ""Fawlty Towers"" episode on steroids without the laughs. There a few chuckles in the movie, but it just doesn't justify the frenetic pacing. Penelope does the best she can with a strange role. She plays a depressed drunk for most of the movie. Chevy hits his part just right, but he isn't given much to work with. Even before I read that",REVIEW,NOT APPLICABLE
One of the Best: I loved this when it came out on LP back in the 70's and I love it now in 2007. I guess good music never dies.,REVIEW,NOT APPLICABLE
"Leaf peeping, keeping cozy,   Making fire or sitting next to a fire pit with marshmallows",ACTIVITY,FALL
"Four wheeling, watching movies at home and spending time with family",ACTIVITY,WINTER
"Surfing, basketball, swimmingly",ACTIVITY,SUMMER
Skating  Christmas  Thanksgiving,ACTIVITY,WINTER
good product: the bottle is perfect size and sprays good with no drip. I use it for dog training with alittle bit of vanilla for them to use their nose first and it's perfect for that. The seller on the other hand didn't follow protocall IMO. They over charged for shipping making this item not a great buy. then I cancelled the order and they still shipped the item the next day. 5 stars for the bottle 1 star for the seller.,REVIEW,NOT APPLICABLE
Staying warm. Avoiding the cold & drinking coffee. The cold weather is incredibly painful for me.,ACTIVITY,WINTER
Cornbelleys  Pumpkin picking   Spook alleys,ACTIVITY,FALL
"more ""I am a God"" new age junk: Let me save you some time and money. Here's what the book says... Blah,Blah,Blah, ""think postive"" Blah,Blah,Blah ""I can create success and money and health with positive thoughts"" Blah,Blah,Blah. That about sums it up!",REVIEW,NOT APPLICABLE
"Absolutely brilliant !: If you love great melodic rock, you've got to have this. It's an absolute crime that this band isn't better known. This is powerful music, very melodic, with huge harmony vocals, great guitar work and absolutely brilliant lyrics. No weak songs at all. The title track rates as my favorite song of all times. Do yourself a favor and buy this album NOW. You won't regret it.",REVIEW,NOT APPLICABLE
"Walking,  driving around scenic areas and sitting outside reading enjoying the breeze.",ACTIVITY,FALL
"Happy with it.: Its a nice iron, good features. The color could have been a little better, may be a bit more darker green.",REVIEW,NOT APPLICABLE
Casino. movie. staying indoors,ACTIVITY,WINTER
"Very sophisticated scent: This cologne smells great! It is much more appealing than Chanel's Allure Sport, Versace's Blue Jeans, or Ralph Lauren's Polo.If you like a slightly stronger, sophisticated scent, this is a great option.",REVIEW,NOT APPLICABLE
"A very bad book: Every southern cliche is here, from happy slaves to decadent aristocrats, all rendered in a style so wooden and lifeless it's amazing that anyone can get through the book, much less love it. This may be the worst writing I've ever read. A completely fraudulent book from the publisher that brought us another great book for our time: MONICA'S STORY.",REVIEW,NOT APPLICABLE
Not Worth It: The saw blade attaches to the plastic head via a machine screw/wing nut and a plastic stud molded onto the head. When the plastic stud shears off you will be left with a floppy saw extremely difficult to work with,REVIEW,NOT APPLICABLE
"two stars is way too many now that i think of it: ""The Mandalorian Armor"" lacked any kind of plot or suspense and is an all around bad book. K.W Jeter left me no reason to keep on reading. Bobba Fett talked way too much, considering Fett only has one line in the entire Star Wars movie trilogy, but appears. It has lots errors. Like it says the Slave 1 is a high speed ship, and yet in the Essential Guide to Vehicles and Vessles it says that the Slave 1 is about as fast as a Y-wing. I would reccomend that no one buy this book.",REVIEW,NOT APPLICABLE
"the kiss: i wanted only 1 copy of the movie the kiss.... i didn't notice til after i committed payment that there was a 3 in the number of copies field.... i tried cancelling but to no avail, i now possess 3 copies of the same movie and am not very happy!kaz",REVIEW,NOT APPLICABLE
Great singers some not associated with Mozart. Good sound: I recall this recording on LP in the early fifties. It conveys the humour and genius of Mozart with great singers although other than Steber they were not previously identified with WM.,REVIEW,NOT APPLICABLE
Football  Bonfire  Haunted house,ACTIVITY,FALL
"Not very specific, not good: This is not a good survival manual. It doesn't explain some very basic and essentials well at all, people who gave this a good review are probably people with no experience. I recommend Mors Kochanski's books.Has some good info about what to do if lost in the ocean but much of it can be found online.",REVIEW,NOT APPLICABLE
"Going to the beach, getting iced coffee at coffee shops, and swimming.",ACTIVITY,SUMMER
I am Rosa Parks: I bought this book for my 8 year old granddaughter who loves to read. She loved the book and having it to add to her library.,REVIEW,NOT APPLICABLE
Ski snowmobile four wheeling,ACTIVITY,WINTER
"I hate to admit it, but...: I loved this movie. (Shhh! Don't tell my friends; they'll all laugh at me--and they do that enough with my musical tastes!) It wasn't meant to blow your mind, and make you leave the theater wondering about it. No, it's just 'mindless entertainment'...and pretty funny mindless entertainment, if you ask me. If you're looking for something with depth, go see AI. Chris Tucker has some of the funniest lines, the best being ""Alright, which one of y'all kicked me?"" I loved the credits, where they showed the bloopers...but I always get a kick out of those. I can't wait for the sequel. I'm hoping that, maybe, it will be one of those rare things like Jurassic Park, where the second is better then the first.",REVIEW,NOT APPLICABLE
"Pumpkin carving, tricker treating, and cosplaying as an anime catgirl.",ACTIVITY,FALL
"typos everywhere: I recently purchased this book and a few of the examples were not working. I spent hours trying to figure out what I was doing wrong and then I decided to download the codes from the website. I then realized it wasn't my mistake at all, there were typos everywhere. on page 62, the print example, is one of those I could not get to work. When I compared the book example to the online code example I noticed they were very different. For a nooby like me, this was very frustrating because I spent hours on this one small example. And from reading the other reviews, it seems like it gets worse when he talks about DHTML.",REVIEW,NOT APPLICABLE
Swimming  camping   hiking,ACTIVITY,SUMMER
Sledding  Snowball fights  Fire in the fireplace,ACTIVITY,WINTER
AVLIMIL I LOVE IT: IT HAS HELPED ME BALANCE MY MOOD AND THE ADDED BONUS IS THAT I HAVE MY SEXUAL DESIRE BACK. IT HAS CHANGED MY OUTLOOK FOR THE FUTURE AND I WOULD RECOMMEND IT TO ANYONE EXPERENCING MOODINESS AND SEXUAL DECLINE. I HAVE NO SIDE AFFECTS.,REVIEW,NOT APPLICABLE
Skiing,ACTIVITY,WINTER
"Flows like a river...: While reading this book, it almost felt as though I was in a dream! The words and the scenes flow together so beautifully, and the book is difficult to put down. It isn't the suspence (there wasn't any), it was the lovely, dreamlike way that this book was written. The words were poetic! As much as I loved this book, I did find some of the characters (even the main character, Eden) to be a bit unrealistic at times. I am Black, and I'm an amateur writer, but I admit that there were times when I wanted to reach in, shake Eden by her shoulders and say, ""GET IT TOGETHER, GIRL!!"" She tries to live a fairy-tale bohemian lifestyle, and it seemed to me that she almost resents the ""real world"". All in all, this book is an excellent read; stron",REVIEW,NOT APPLICABLE
Walking  Camping  Picking apples,ACTIVITY,FALL
"Too much money, buy a cheaper one..: I have owned a few electronic dictionaries over the yrs. and this one is alright. The cost is too much, cheaper electronic dictionaries have word games, this one don't. Had it for a little over a year and I thought the battery was bad. Replaced it and still nothing!! So it's broke. I have some older cheap ones still around, guess I'm going back to them...Think about this, if it was waterproof I still wouldn't buy it. I say this cause I use this dictionary outdoors alot..Junk, don't buy!",REVIEW,NOT APPLICABLE
Snowman building   Snowball fight  Hot chocolate,ACTIVITY,WINTER
"Swimming, exercising, playing sports",ACTIVITY,SUMMER
"Visiting a cider mill, Halloween decorating, and hay rides.",ACTIVITY,FALL
"Big bottle, tiny mouth: They look good but my boy hates them. He would rather drink his milk from a glass than use this cup. I dont know what the real problem is but i feel the bottle is huge compared to its mouth.....",REVIEW,NOT APPLICABLE
"Excellent reading, highly recommended for anyone who decides anything.: Excellent reading, highly recommended for anyone who decides anything.",REVIEW,NOT APPLICABLE
Golfing  Apple picking   Shopping for Thanksgiving,ACTIVITY,FALL
"Flowers, trees changing colors, temperature change",ACTIVITY,FALL
Christmas Lights  Fires in the fireplace  Snow days,ACTIVITY,WINTER
A bag... not a game: The bag works great for the 360 and its cords but the lack of extra space for a couple games ruins the whole less luggage idea.,REVIEW,NOT APPLICABLE
Walks in the park.  Christmas season.  Ice skating,ACTIVITY,WINTER
"Sleeping, relaxing, sex",ACTIVITY,SUMMER
"Life of a slave girl: Interesting reading. Hard to imagine all that slaves had to endure and how disgusting their treatment was, bearing in mind the slaves were ""employed"" to help the family.",REVIEW,NOT APPLICABLE
Skiing  Sledding  Going to Florida,ACTIVITY,WINTER
Classic!: I wanted to re-read this after seeing promos for the upcoming movie. Haven't read this since high school. I liked it then and still like it now.,REVIEW,NOT APPLICABLE
ski,ACTIVITY,WINTER
"A messy Odyssey: Chinese Odyssey, Part 1, is a very wacky period adventure...you'll be forgiven if you end up at the end no wiser than the beginning. Stephen Chow is Joker, whom two female demons (one, Jingjing, who is in love with him) is convinced is the reincarnation of Sun Wukong, the Monkey God of Chinese classic Journey to the West. While it must be congratulated for giving the centuries-old classic a novel spin, there's just too much repetition, wackiness and messiness to ensure this a smooth ride; the jokes are mainly slapstick, and could well be removed without hurting the ramshackle plot at all. Best seen as a preparation to the much superior and emotionally satisfying Part 2, Cinderella.",REVIEW,NOT APPLICABLE
Regional Travel  Attend Music and Theater  Visit Family,ACTIVITY,FALL
"More George Carlin Nostalgia: [Written 1/12/11] I love George, I really do. But this was not the right day to watch his long and rather gory bit about violence. Also, we have to admit that 15 year old jokes are sometimes a bit dated.Still, I give it four stars, though not five, because I couldn't help laughing, and because George has such an incredible imagination. Also great delivery: does he really memorize all those crazy lists? The facial expressions and gestures and silly walks and all are not buffoonery, but part of the story.This is a good show, but maybe wait until the story about the Tucson shooting is a little older before you watch it.",REVIEW,NOT APPLICABLE
Going to flea markets   Walking   Vacation,ACTIVITY,SUMMER
"Not what I ordered -after market brand: Item received was not what is pictured.Beware; this is not SportDogs material, received Guardian Brand. The wire and flags are aftermarket and box did not contain all items listed in kit. I can not locate any description of the wire gage, so I'm not sure what I received. Very, Very disappointed!",REVIEW,NOT APPLICABLE
running crusing casino,ACTIVITY,WINTER
"Classic: I bought this album when it came out in 2002,I have the limited edition digi-pack album. I remember hearing ""My Block"" and ""Guess Who's Back"" on the radio, they got a fair amount of play. Soon as I heard those two songs I knew I was gon buy the album. Everything about this album was on point, Scarface calls out all the artist who sold out on the song ""Sellout"", he also spits some the real stuff on the two Kelly Price assisted songs ""What Can I Do"" and ""Heaven"". This album also features some of Kanye West's best production, back when his sound was soulful. Scarface hooks up with Nas to make the song ""In Between Us"" which is one the best songs he ever made. The album also features Wc & Faith Evans. 5/5 Classic",REVIEW,NOT APPLICABLE
All I can do is scratch my head...: If you're looking for another 'Becoming X' look elsewhere. This isn't even the same band as far as I'm concerned. They never should have tossed Kelli from the band. Not a terrible release....but not exactly worthy of praise either.,REVIEW,NOT APPLICABLE
"Putting great names together doesn't work here: Usually, I avoid soundtrack cds, but this one was on sale and it had some great names on it. Half of the songs are ok, but putting them together on a disc doesn't make a good album. You can hear the various styles of the participating artists colliding. U2, Nick Cave, Herbert Gronemeyer, Anderson? What do these artists have in common apart from their admiration for Wim Wenders. Like the movie, the album is an artistic overkill. It's just too much. The instrumental parts at the end are a complete waste. They can't surive without the images in the movie. Avoid this album unless you want a sampler to discover some new artists. But don't play it from a to z.",REVIEW,NOT APPLICABLE
Great. Look. Fantastic price: Great. Look. Fantastic price. The item is a perfect fit for my head. Really comfortable and sturdy. The straps could have been made better but for the price its great. No complaints. I use it for my scooter,REVIEW,NOT APPLICABLE
plum crazy purple dodge barracuda: Extremely pleased with the purchase. It is almost impossible to find a purple barracuda on the hot wheels display. My son and I have been looking for a plum crazy purple dodge barracuda since he was 2 and he is 8 now and we finally just gave up and ordered one.......excellent condition (new). REceived in timely fashion.,REVIEW,NOT APPLICABLE
"Excellent exposition of diversity of Jewish theology: This is a symposium of responses to five questions that were posed to leading rabbis in the early 1960's:1) In what sense do you believe the Torah to be divine revelation?2) In what sense do you believe that the Jews are the chosen people of G-d?3) Is Judaism the one true religion, or is it one of several true religions?4) Does Judaism as a religion entail any particular political viewpoint?5) Does the so-called ""G-d is dead"" question ... have any relevance to Judaism?The answers are diverse and uniformly interesting. Since the format forces the respondents to be terse, some of the essays are pretty dense. Nevertheless, this is highly recommended reading for anyone who is puzzled by central questions in",REVIEW,NOT APPLICABLE
"Two Hours of My Life That I'll Never Have Back!: To call this movie funny or in any way resembling an Indiana Jones movie is a great mistake. Aside, from some impressive special effects, this movie has no redeeming qualities. I enjoy lighter cinematic fare as much as the next guy, but the script here is awful and the acting even worse. Don't say I didn't tell you so!",REVIEW,NOT APPLICABLE
Baking wearing sweaters and boots and football,ACTIVITY,FALL
"Leaf watching, pumpkin picking, site seeing.",ACTIVITY,FALL
Skiing sledding skating,ACTIVITY,WINTER
"TOO MANY WORDS: If half the words in this book were left out, maybe you could find a story there you could get into. The superfluous descriptions of subway rides, door handles, stone steps and wet leaves left me groping to find anything to carry me through this book. Almost two thirds through I realized I had no idea what was going on so I left the book in a coffee shop on purpose. I never missed it. I feel bad for whoever found it.",REVIEW,NOT APPLICABLE
"Walking, reading, visiting",ACTIVITY,FALL
"Leaf pile, fire pits, nature walks",ACTIVITY,FALL
"Very boring: I've read all the reviews now that I've finished the first two books, and I am mystified by all the glowing reports. I may be twelve but I know a good book from a bad book. This book is incredibly boring. Paolini's writing is as unimaginative as it is wordy. He seems to take great lengths to describe stupid stuff with poorly chosen adjectives. Every paragraph seems to drag on, and nothing ever happens. A potential reader would be best suited to look elsewhere.",REVIEW,NOT APPLICABLE
Snow holidays family,ACTIVITY,WINTER
"Pumpkin Carving, Collecting leaves from trees, and walks along the parkway.",ACTIVITY,FALL
Cinderella: Was told by Disney this is NOT an authorized product of Disney!Main DVD will NOT play on my DVD player (only on my PC).Received NO response from distributor for refund & return policy after two e-mail requests.BAD PURCHASE!,REVIEW,NOT APPLICABLE
"Lily Dale: The True Story of the Town that Talks to the Dead: A GOOD READ...! I READ IT TWICE , JUST TO SPEND MORE TIME AT LILLY DALE... AND !WITH ALL THOSE WHO DWELL THERE...! DEAD OR ALIVE...!! : )",REVIEW,NOT APPLICABLE
"Great product!!!!!!!: I bought this for my 2010 Jeep Patriot (along with a Cobra magnet mount antenna), and installed it right after it came today. It's matched up now, working great so far. Should come in handy on the interstate between home and college.",REVIEW,NOT APPLICABLE
"road trips, hiking, reading",ACTIVITY,WINTER
Boys Briefs 4: Not a DVD series Tha I really cared for. There is no Nudity in any of these short films and nothing I really grab onto to say I cared for the DVD.,REVIEW,NOT APPLICABLE
Diving  Climbing  Football,ACTIVITY,FALL
Walking  Reading  Drinking wine,ACTIVITY,WINTER
"Why am I even bothering writing a review on this book?: I've read many books in my time, and this is the worst. I only read it because I had to for english. It is outdated and inapplicable to today's society. Holden is such a cop-out and a bad example to readers of the book.",REVIEW,NOT APPLICABLE
Picking pumpkins   Visiting apple orchard   Football games,ACTIVITY,FALL
staying in  eating soup  making a fire,ACTIVITY,WINTER
"swim, travel, dive",ACTIVITY,SUMMER
"Worked well...: Product worked well. I used it just by myself and it went well, but had a large area to layout the line completely. Suggest using two to make the job go smoother.I used it on black 4 inch drain tile outside my house and it did the job.",REVIEW,NOT APPLICABLE
Watching tv  Surfing the internet  Sleeping in,ACTIVITY,WINTER
dont know  swimming  boating,ACTIVITY,SUMMER
"baking, raking and walking",ACTIVITY,FALL
Halloween   The weather   The colors,ACTIVITY,FALL
"reading, pc games, watching movies",ACTIVITY,WINTER
Sit 'n Stroll: This is really good for traveling. The instructions show it going from carseat to stroller with the child in it and I will say that's really hard to do. Also the latch that keeps it in the stroller position is a bit difficult. We've had it collapse a couple of times.,REVIEW,NOT APPLICABLE
"Playing in smnow, staying inside with a good book, sledding",ACTIVITY,WINTER
"Swimming, traveling, running",ACTIVITY,SUMMER
"Natural, Soothing and Relaxing: Natural sounds recorded with incredible clarity, paired with modern renditions of Native-American music. Whether played at higher volume and listened to carefully, or at a lower volume as background mood-music, this is entrancing. I like to listen on headphones while sitting in a comfortable recliner with my eyes closed; what a great way to un-wind at the end of a stressful day. The music is enjoyable listening at any time. Disc plays back in Circle Surround sound for a full auditory experience. Very enjoyable.",REVIEW,NOT APPLICABLE
"Photography, walks, photography",ACTIVITY,WINTER
"Not activities really but enjoying the cooler temps while watching soccer, jogging and seeing the leaves turn color.",ACTIVITY,FALL
christmas romance: My dvd was bad so I only got to see half but would have cost more to send back .Carol,REVIEW,NOT APPLICABLE
"Watching football, playing video games, and drinking egg nog.",ACTIVITY,FALL
"An Almost Cogent Strategy: Messrs. Frum and Perle have written an excellent and timely book. It provides a needed political and military strategy, which goes beyond the tepid and politically correct bounds of the Bush administration. It names nations that promulgate and harbor terrorism (such as Saudi Arabia and Iran) and is willing to bite the bullet where action is required.My sole qualm is that by lack of a philosophical foundation there is a limit to its ideological clarity. Thus it slips into the vogue beliefs of imposing democracy, finding hope for the UN and Islam, and accommodating the foibles of ?Æallies?ô. Perhaps such views could be defended, but it appears that this book simply adopts such positions for reasons of expediency. Nonetheless, I str",REVIEW,NOT APPLICABLE
"HORRIBLE!!: This cd sounds like a bunch of 8-year-olds screaming. I like most of the original songs, but they are sung increadible badly by young kids. Most of these songs are meant to be sung by only one person, but the ""Kidz Bop Kids"" have about 10 people singing them at once. DO NOT BUY THIS CD!!! I'd give this 0 stars if I could, but there isn't an option for that.",REVIEW,NOT APPLICABLE
love being out side  watching football  all the family gatherings,ACTIVITY,FALL
"JBLS36II 3-way 6"" wall speaker: I bought the S36II to replace CSW'sdipole surround speakers,because,Ineeded more bass in the rear soundstage and these JBL's, with there 6""woofers,fills in that missing back low frequency,along with thereexellent mid and high's.I am intoDVD-AUDIO and needed speakers thatcan handle full range music.I haveJBL's S38II's up front with the S-Center and on the rear wall,N-26's.The sound is now complete, all around.I can highly recommend the S36II'salong with the rest of the Studioseries I mentioned.",REVIEW,NOT APPLICABLE
"TEN Stars and not just for diapers: This is a bit of an odd review, because I have given these as gifts to new parents, because they make a diaper do double duty. But I also have bought some to use as cold or hot packs, because when I wet them and either place it the freezer to get cold or in the microwave for one minute, they do a better job that the more expensive cold/hot packs I have bought at the drug store. And a friend told me they are great for washable menstrual pads. Being environmentally minded I LOVE finding a product that can do more than one thing.",REVIEW,NOT APPLICABLE
"Being in snow, taking photos, skating.",ACTIVITY,WINTER
traveling    pooltime    bars,ACTIVITY,SUMMER
Ski snow boarding bob sled,ACTIVITY,WINTER
"My three favorite fall activities are hiking, picnicking and working outdoors.",ACTIVITY,FALL
"Beach, traveling, barbeques",ACTIVITY,SUMMER
